Radius,Pressure,Temperature,Luminosity,Mass,Density,Energy Generation Rate,Transport Parameter,Cycle
0.0,72.2096390826345,1.8628999999999916,0.0,0.0,2.783278310018568e-07,4.02604307244059e-06,0.0,C
0.10512000000005628,72.08828407996437,1.8616470574829764,0.05533941891631787,0.0001364663341828171,2.780470831384127e-07,3.9735677712666795e-06,0.0,C
0.21024000000005572,71.72495361513738,1.8578882299319337,0.44271535133018386,0.0010917306734616514,2.772054064343797e-07,3.8200074548932665e-06,0.0,C
0.31536000000005515,71.11697907437956,1.8515728034586159,1.3951657039329444,0.003732817664023197,2.757931725749775e-07,3.5746028672481997e-06,0.0,C
0.4204800000000546,70.27035780716479,1.8427241982606257,3.099776209703009,0.008780349802075668,2.738185267983776e-07,3.2558091811569277e-06,0.0,C
0.525600000000054,69.1998168545777,1.8314431869559926,5.6084930964010615,0.016990588197321854,2.713079361023901e-07,2.8883819913763123e-06,0.0,C
0.6307200000000535,67.91668505257334,1.8177831151927313,8.855571154827627,0.029081845295413945,2.6827822158504573e-07,2.496046106219333e-06,0.0,C
0.7358400000000529,66.43309758204649,1.8017945713743526,12.677313338422778,0.045725433035746194,2.64746502990797e-07,2.101044152750783e-06,0.0,C
0.8409600000000523,64.76263268940524,1.783533499762931,16.846177380490737,0.06753829184409518,2.607319349476385e-07,1.722531287406226e-06,0.0,C
0.9460800000000518,62.92030109670236,1.7630628316365253,21.110972233434715,0.09507587674601822,2.562559782406595e-07,1.3753215134091438e-06,0.0,C
1.0512000000000512,60.92237783794366,1.740452644930745,25.23481984335025,0.12882591393045245,2.513423307407131e-07,1.0692898742744554e-06,0.0,C
1.1563200000000506,58.78617979021547,1.7157798705598475,29.024364320775426,0.16920307694303835,2.4601674816288357e-07,8.094367492692573e-07,0.0,C
1.26144000000005,56.529821333096805,1.6891278327801589,32.346672376395986,0.21654463633885102,2.403068210328443e-07,5.964876240799807e-07,0.0,C
1.3665600000000495,54.17196170169171,1.6605857167085893,35.133445621894865,0.27110712622522404,2.342417307299612e-07,4.2783631671037834e-07,0.0,C
1.471680000000049,51.73155177550057,1.6302479973547013,37.37473872585563,0.33306405524353716,2.2785199432160412e-07,2.986269536896508e-07,0.0,C
1.5768000000000484,49.22758594509649,1.598213845210458,39.11638333151359,0.40250467307852095,2.2116920356063285e-07,2.0622078666024458e-07,0.0,C
1.6819200000000478,46.678863724888494,1.5645865167413466,40.407305147371005,0.47943378726418046,2.1422576187089176e-07,1.3054894739465873e-07,0.0,C
1.7870400000000473,44.10376513933532,1.52947273573814,41.2837800249737,0.5637726092800643,2.070546225335915e-07,8.013638319294636e-08,2.392322853372264,C
1.8921600000000467,41.52004334550646,1.492982070627533,41.881883576936374,0.655360594015903,1.9968903098633883e-07,5.3296060136979014e-08,2.505928596202496,p
1.9972800000000461,38.798253235640075,1.453166951873386,42.38933179608411,0.755608174441668,1.9171127891288247e-07,4.592321041407497e-08,2.6163777699119763,p
2.1024000000000456,36.25142321064753,1.4166442843794396,42.84138481098306,0.860568531160502,1.8374488202675108e-07,3.975401827057875e-08,2.720216633350757,p
2.207520000000045,33.751040383101355,1.3805379936127264,43.25432571778327,0.9715656221093896,1.755455419488445e-07,3.4253565529236986e-08,2.817752999282751,p
2.3126400000000444,31.312948194901747,1.3448500976570907,43.62682362661765,1.0880201417423223,1.6718645309743457e-07,2.937779029186182e-08,2.909328492821816,p
2.417760000000044,28.951170087744224,1.309590800943176,43.95882155652378,1.209296984704102,1.5873822093325027e-07,2.508109530639243e-08,2.995301200472389,p
2.5228800000000433,26.677729244291587,1.2747760198220701,44.25133793881198,1.334718699865937,1.502678175411271e-07,2.1316899937022203e-08,3.0760078471323866,p
2.6280000000000427,24.502551240080237,1.2404254595848123,44.50624868348765,1.4635790553940824,1.418376862444674e-07,1.803835172713777e-08,3.1517922360114863,p
2.733120000000042,22.433440209376748,1.206560860431124,44.72624072687801,1.5951564357595265,1.335050362292006e-07,1.5199073261150762e-08,3.222926461504936,p
2.8382400000000416,20.476120598608187,1.1732050836901347,44.91281958605307,1.7287266377167647,1.2532125810776758e-07,1.259882332313846e-08,3.2897860071472937,p
2.943360000000041,18.634337094059997,1.1403816291338953,45.06850784204764,1.8635745597940312,1.1733153129216939e-07,1.038157442098497e-08,3.352705866202617,p
3.0484800000000405,16.909997430937356,1.1081132420506425,45.19711404739599,1.9990047727745321,1.0957472778518027e-07,8.52043129112003e-09,3.411909958394228,p
3.15360000000004,15.303346233130542,1.0764208365753976,45.30241364455383,2.1343508416438546,1.0208344360033186e-07,6.966221354709858e-09,3.4675948810420834,p
3.2587200000000394,13.813160489438806,1.0453230682795802,45.38790805741607,2.2689831941896124,9.488411839343292e-08,5.674707213246461e-09,3.519939336747721,p
3.363840000000039,12.43695684176152,1.014836118891156,45.45676956673383,2.4023154647898157,8.799727327066791e-08,4.606524260017287e-09,3.5691161843710217,p
3.4689600000000382,11.171201727941545,0.9849735554277282,45.51181458889866,2.533809325405481,8.143785517671252e-08,3.727000252349681e-09,3.6152778390314184,p
3.5740800000000377,10.011517338473881,0.9557463323078231,45.555478454674926,2.6629778094663514,7.521565941486431e-08,3.00588716816083e-09,3.658586875533743,p
3.679200000000037,8.952876412103299,0.9271627490245072,45.59009319717455,2.7893873348565505,6.933581399543437e-08,2.437025187101167e-09,3.6991636313751664,p
3.7843200000000365,7.989781202589664,0.8992285746745773,45.6170862282536,2.9126585946504413,6.379928198393509e-08,1.9243710405874642e-09,3.7371787183774163,p
3.889440000000036,7.116427571552134,0.8719473408978834,45.637775955018185,3.0324659651536363,5.8603395457906014e-08,1.5152929208661839e-09,3.7727748167463453,p
3.9945600000000354,6.326851071369111,0.8453203586305831,45.653540550393004,3.1485356616603264,5.3742428409980824e-08,1.1899986164865837e-09,3.8060410915840617,p
4.099680000000035,5.615034710073079,0.8193467655624611,45.665485071980115,3.260645804400086,4.9207998998877035e-08,9.321739240954208e-10,3.8372225911947555,p
4.204800000000034,4.974991985775899,0.7940238592569481,45.674486944704896,3.368627187495831,4.4989362215447386e-08,7.284506345928931e-10,3.86674303558335,p
4.309920000000034,4.400919037762516,0.7693473972285635,45.68123670003206,3.4723485285427285,4.107446295321349e-08,5.679457642024163e-10,3.8940529477245027,p
4.415040000000033,3.887242750268025,0.7453114864108972,45.68627338410592,3.5717154345165776,3.7450261228295405e-08,4.4184144482289404e-10,3.91956393341027,p
4.520160000000033,3.428612003388598,0.7219086678285189,45.69001452736758,3.6666765611823795,3.410256838446287e-08,3.4302114870361305e-10,3.9433838235575176,p
4.625280000000032,3.0199643111728327,0.6991302296457631,45.69278119822993,3.7572146021105852,3.101663884962147e-08,2.657710455075069e-10,3.965615425379146,p
4.7304000000000315,2.6565483061802793,0.6769663664316243,45.694818645342785,3.8433425909029753,2.8177446167606087e-08,2.0552261488091918e-10,3.986356775610311,p
4.835520000000031,2.3339359951011587,0.6554063286049734,45.69631303790309,3.925100276878916,2.556991679985204e-08,1.5863718500407583e-10,4.0057003153393085,p
4.94064000000003,2.0480266035284598,0.6344385641393501,45.69740487573677,4.002550631320698,2.31791242642374e-08,1.2222707485818792e-10,4.023734181097267,p
5.04576000000003,1.7950436693616187,0.6140508482478838,45.69820197945111,4.075776529873966,2.0990446962308845e-08,9.400823336185306e-11,4.040540121926106,p
5.150880000000029,1.5715268769464372,0.5942304082380878,45.69876204122259,4.144877641893195,1.8989693035788275e-08,6.797820663160008e-11,4.056197822970842,p
5.256000000000029,1.3743199414949523,0.5749640377688228,45.6991484460622,4.2099675456952,1.7163196313587713e-08,5.0415582260566314e-11,4.070780416825767,p
5.361120000000028,1.2005556475130956,0.5562381913247262,45.699417695377115,4.271171084873614,1.5497887157004453e-08,3.7321564984684007e-11,4.0843552903490234,p
